iter	Accuracy	Logloss
94	0.8258426966	0.4448789925
95	0.8258426966	0.4445606621
96	0.8258426966	0.4443414414
97	0.8258426966	0.4430869173
98	0.8258426966	0.4428803656
99	0.8258426966	0.4413514466
100	0.8258426966	0.4410010014
101	0.8258426966	0.4408529368
102	0.8258426966	0.4399876513
103	0.8258426966	0.4398034773
104	0.8258426966	0.4395953036
105	0.8258426966	0.4388417116
106	0.8258426966	0.4385995521
107	0.8258426966	0.4383467258
108	0.8258426966	0.4375217054
109	0.8258426966	0.4364425188
110	0.8258426966	0.4361008326
111	0.827247191	0.4351612352
112	0.8258426966	0.4349396249
113	0.827247191	0.4344568253
114	0.827247191	0.4336924376
115	0.827247191	0.4327458712
116	0.827247191	0.4326570799
117	0.827247191	0.4320129171
118	0.827247191	0.4319757009
119	0.827247191	0.4315259041
120	0.827247191	0.4310321864
121	0.827247191	0.4309015193
122	0.827247191	0.4303661012
123	0.8286516854	0.4298510475
124	0.8286516854	0.4294586047
125	0.8286516854	0.4288729216
126	0.8286516854	0.4279770937
127	0.8286516854	0.4272995967
128	0.8286516854	0.426788468
129	0.8286516854	0.4266546682
130	0.827247191	0.4263881889
131	0.827247191	0.426017032
132	0.8286516854	0.4255616276
133	0.8286516854	0.4251723214
134	0.8286516854	0.4247709531
135	0.8286516854	0.4245052964
136	0.8286516854	0.4243722533
137	0.8286516854	0.424302164
138	0.8286516854	0.4239445514
139	0.8286516854	0.4237623156
140	0.8286516854	0.4232035123
141	0.8286516854	0.4228093187
142	0.8286516854	0.4225144731
143	0.827247191	0.4221040896
144	0.827247191	0.4219851305
145	0.827247191	0.4215666925
146	0.827247191	0.4212006128
147	0.8286516854	0.4207572366
148	0.8286516854	0.420292837
149	0.8286516854	0.419836795
150	0.8286516854	0.4197507158
151	0.8286516854	0.4194333684
152	0.8286516854	0.4191471853
153	0.8286516854	0.4187538388
154	0.8286516854	0.4180887382
155	0.8286516854	0.4179299359
156	0.8286516854	0.4176617567
157	0.8286516854	0.4171354814
158	0.8286516854	0.4165752964
159	0.8286516854	0.4162388845
160	0.8286516854	0.4160772914
161	0.8286516854	0.4159349403
162	0.8286516854	0.4153718939
163	0.8286516854	0.4149463348
164	0.8300561798	0.4146660048
165	0.8300561798	0.4143088299
166	0.8314606742	0.4139916613
167	0.8314606742	0.4139491893
168	0.8314606742	0.4139152309
169	0.8314606742	0.4131354325
170	0.8314606742	0.413132914
171	0.8314606742	0.412737147
172	0.8314606742	0.4123666865
173	0.8314606742	0.412200721
174	0.8314606742	0.4118911408
175	0.8314606742	0.4118037543
176	0.8314606742	0.4116431018
177	0.8314606742	0.4115379206
178	0.8314606742	0.4113994137
179	0.8314606742	0.4113180273
180	0.8314606742	0.411213041
181	0.8314606742	0.4105727866
182	0.8314606742	0.4103917706
183	0.8314606742	0.410281526
184	0.8314606742	0.4099574775
185	0.8314606742	0.4099101246
186	0.8314606742	0.4099085591
187	0.8314606742	0.4097841743
188	0.8314606742	0.4097805372
189	0.8314606742	0.4092712433
190	0.8314606742	0.4087773044
191	0.8314606742	0.4087508687
192	0.8314606742	0.4087412441
193	0.8314606742	0.4087021285
194	0.8328651685	0.4081167892
195	0.8314606742	0.4076304785
196	0.8314606742	0.4073337868
197	0.8314606742	0.4070357893
198	0.8328651685	0.4064767088
199	0.8328651685	0.4064519699
200	0.8314606742	0.4063877151
201	0.8314606742	0.4063200427
202	0.8328651685	0.4060384859
203	0.8328651685	0.4058563514
204	0.8328651685	0.4057931211
205	0.8328651685	0.4055825145
206	0.8328651685	0.4055424036
207	0.8342696629	0.4053579169
208	0.8342696629	0.4052269089
209	0.8342696629	0.4049943139
210	0.8342696629	0.4048077328
211	0.8342696629	0.4045860523
212	0.8342696629	0.4044113401
213	0.8342696629	0.4043388408
214	0.8342696629	0.4043366251
215	0.8342696629	0.4043140903
216	0.8342696629	0.4040080218
217	0.8342696629	0.4039516254
218	0.8342696629	0.4035189748
219	0.8342696629	0.4032322973
220	0.8342696629	0.4031186496
221	0.8342696629	0.4029235471
222	0.8342696629	0.4028921431
223	0.8342696629	0.4027441002
224	0.8342696629	0.4026600553
225	0.8342696629	0.4025320815
226	0.8342696629	0.4024282189
227	0.8342696629	0.4023775894
228	0.8342696629	0.4022728761
229	0.8342696629	0.4018330506
230	0.8342696629	0.4018321568
231	0.8342696629	0.4016433811
232	0.8342696629	0.4012978327
233	0.8342696629	0.4012408916
234	0.8342696629	0.4009098867
235	0.8342696629	0.4008963319
236	0.8342696629	0.4005465271
237	0.8342696629	0.4005453628
238	0.8342696629	0.4005057667
239	0.8342696629	0.4004748026
240	0.8342696629	0.4002129136
241	0.8342696629	0.4000204103
242	0.8342696629	0.399826377
243	0.8342696629	0.3997142621
244	0.8342696629	0.3994660844
245	0.8342696629	0.3993750145
246	0.8342696629	0.3991851688
247	0.8342696629	0.3989520536
248	0.8342696629	0.3988068332
249	0.8342696629	0.3987388512
250	0.8342696629	0.3987387122
251	0.8342696629	0.3987136238
252	0.8342696629	0.3987123113
253	0.8342696629	0.3984037827
254	0.8342696629	0.3983925309
255	0.8342696629	0.3983282368
256	0.8342696629	0.3983260464
