iter	Passed	Remaining
857	14655	2425
858	14674	2408
859	14689	2391
860	14705	2374
861	14733	2358
862	14760	2343
863	14779	2326
864	14804	2310
865	14839	2296
866	14860	2279
867	14873	2261
868	14885	2243
869	14898	2226
870	14912	2208
871	14925	2190
872	14941	2173
873	14962	2157
874	14982	2140
875	14999	2123
876	15021	2106
877	15041	2090
878	15055	2072
879	15083	2056
880	15109	2040
881	15128	2023
882	15146	2006
883	15159	1989
884	15173	1971
885	15204	1956
886	15268	1945
887	15285	1927
888	15301	1910
889	15315	1892
890	15332	1875
891	15347	1858
892	15360	1840
893	15372	1822
894	15387	1805
895	15399	1787
896	15415	1770
897	15432	1752
898	15457	1736
899	15472	1719
900	15496	1702
901	15510	1685
902	15527	1668
903	15542	1650
904	15559	1633
905	15576	1616
906	15589	1598
907	15604	1581
908	15616	1563
909	15628	1545
910	15640	1527
911	15656	1510
912	15668	1493
913	15682	1475
914	15695	1458
915	15708	1440
916	15725	1423
917	15749	1406
918	15766	1389
919	15788	1372
920	15809	1356
921	15822	1338
922	15838	1321
923	15858	1304
924	15871	1286
925	15889	1269
926	15908	1252
927	15921	1235
928	15935	1217
929	15951	1200
930	15969	1183
931	15993	1166
932	16014	1149
933	16028	1132
934	16051	1115
935	16068	1098
936	16082	1081
937	16099	1064
938	16115	1046
939	16128	1029
940	16141	1012
941	16152	994
942	16169	977
943	16183	960
944	16198	942
945	16264	928
946	16337	914
947	16401	899
948	16451	884
949	16499	868
950	16549	852
951	16576	835
952	16602	818
953	16627	801
954	16649	784
955	16674	767
956	16699	750
957	16727	733
958	16747	715
959	16770	698
960	16806	682
961	16858	665
962	16905	649
963	16934	632
964	16961	615
965	16996	598
966	17038	581
967	17066	564
968	17096	546
969	17133	529
970	17180	513
971	17206	495
972	17233	478
973	17261	460
974	17330	444
975	17410	428
976	17442	410
977	17478	393
978	17503	375
979	17530	357
980	17550	339
981	17579	322
982	17613	304
983	17650	287
984	17677	269
985	17705	251
986	17734	233
987	17778	215
988	17798	197
989	17829	180
990	17859	162
991	17889	144
992	17926	126
993	17952	108
994	18000	90
995	18039	72
996	18071	54
997	18106	36
998	18146	18
999	18178	0
